 	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	
0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	


1	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	


2	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	


3	0|0	0|0	0|0	0|0	0|10	0|0	0|100	0|0	0|18	0|0	0|100	0|0	0|0	0|0	0|0	


4	0|0	0|0	0|0	18|0	0|0	0|30	0|1200	18|0	0|18	18|38	0|1200	0|0	0|18	0|0	0|0	


5	0|0	0|0	0|0	0|0	100|0	0|0	0|0	0|0	20|20	20|40	0|0	0|30	0|18	0|0	0|0	


6	0|0	0|0	0|18	0|0	0|18	0|0	0|0	0|0	0|0	0|0	0|0	0|20	0|0	0|0	0|0	


7	0|0	0|18	0|0	0|56	0|40	0|0	1060|50	0|0	0|0	1220|30	120|1200	0|20	0|18	0|0	0|0	


8	0|0	0|0	18|38	0|40	0|0	18|18	0|0	0|0	0|0	118|0	0|100	36|0	0|18	0|0	0|0	


9	0|0	20|18	20|20	0|0	0|40	48|118	1060|0	0|0	1070|0	1218|30	20|100	0|0	0|0	0|0	0|0	


10	0|0	20|0	0|0	20|20	28|38	10000|0	1018|100	0|0	0|0	0|0	10020|18	0|0	0|18	0|0	0|0	


11	0|0	0|0	20|0	20|18	0|0	0|36	20|20	0|0	60|0	0|0	120|1200	18|30	0|0	0|0	0|0	


12	0|0	0|0	18|0	0|0	18|0	18|0	0|0	18|0	18|38	1218|20	0|0	18|20	0|36	0|0	0|0	


13	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	100|38	0|100	0|0	0|0	0|0	0|0	


14	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	


10000,19010|1200,6600
